name,value,baseline,sub_activities
Pátio de Alimentação,"100,01","100,01",Cortar Produção do Pátio de Finos Parar Pátio Vazio:100|100; Esvaziar e Limpar Chutes do Circuito de Alimentação Transportadores de Correia e Chutes:100|100; Posicionar Emenda das Correias Conforme Necessidade:100|100; Realizar Bloqueio do Circuito do Pátio de Finos:100|100
Secagem,100,100,Desligar e Resfriar Queimadores 1SM6GG:100|100; Realizar Purga do Gás do Queimador:100|100; Realizar Bloqueio da Secagem:100|100
Torre de Resfriamento,100,100,TR301TR Forno  Ventiladores:100|100
Mistura,100,100,Esvaziar Caixa do AZ110FM:100|100; Esvaziar Misturador AZ05MI e Circuito de Correias:100|100; Realizar Bloqueio da Mistura:100|100
Briquetagem,100,100,Esvaziar Silos AG100SI  AG101SI  AG102SI:100|100; Esvaziar Briquetadeiras AG71RB  AG74RB  AG77RB:100|100; Realizar Bloqueio da Briquetagem:100|100
Forno,100,100,"Esvaziar Grelha do Forno:100|100; Realizar Limpeza dos Motores da Peneira de Rolos:100|100; Corte de Produção do Forno:100|100; Realizar Resfriamento Forçado até a Temperatura Ambiente AH30VT em Abertura Mínima  AH47VT  AH93VT  AH34VT:100|100; Retirar Proteções Laterais  Corrimão ao Longo do Forno e Levantar Selagens Superiores:100|100; Cangar Todos os Carros de Grelha da Parte Superior da Grelha:100|100; Retirar Carros de Grelha das Rodas de Levantamento e Abaixamento 14 Carros:100|100; Passar Cabo de Aço na Região Inferior:100|100; Retirar Todos os Carros de Grelha da Região Superior - Carga 57 Carros:100|100; Realizar Limpeza dos Trilhos Superiores, Selagens Inferiores e Vigas de Apoio e Colunas Superiores com Hidrojato:100|100; Instalar e Bloquear com Batente Mecânico na Região Superior próx. Abaixamento e próx. Levantamento:100|100; Retirar Todos os Carros de Grelha da Região Inferior 58 Carros:100|100; Realizar Limpeza dos Trilhos Inferiores, Vigas de Apoio e Colunas Inferiores com Hidrojato:100|100; Procedimento de Limpeza da Manutenção Roda Levantamento:100|100; Procedimento de Limpeza da Manutenção da Roda de Abaixamento:100|100; Procedimento de Limpeza das Caixas de Vento:100|100"
Ventiladores,100,100,Realizar Bloqueio Elétrico AR81 Ambiental:100|100; Realizar Bloqueio Elétrico AH33 Queima para Secagem Descendente:100|100; Realizar Bloqueio Elétrico AH34 Secagem Descendente para PP AR1:100|100; Realizar Bloqueio Elétrico AH47 Secagem Ascendente para PP AR40:100|100; Realizar Bloqueio Elétrico AH30 Resfriamento:100|100; Realizar Bloqueio Elétrico AH93 e AH94 Atomizadores:100|100
Precipitadores,100,100,AR80:100|100; AR1:100|100; AR40:100|100
Peneiramento,"75,3","75,3",Realizar Limpeza através do Circuito da Emergência AH17  AH19  AH20  AH103  AH104  AH105:79|79; Bloquear Circuito de Limpeza do Forno e da Emergência AH17  AH19  AH20  AH103  AH104  AH105:0|0; Realizar Bloqueio Elétrico do Circuito de Finos de PQ BH128  BH129  BH130:100|100; Esvaziar Peneira AH13PV:100|100; Realizar Bloqueio Elétrico da Peneira AH13PV:100|100
Pátio de Briquete,100,100,"Esvaziar Correias do Circuito, Realizar Limpezas dos Chutes do Circuito e Posicionar Correias para Manutenção 2P0TC até Pátio do Briquete:100|100; Realizar Bloqueio Elétrico do Pátio do Briquete:100|100"
Pátio de Alimentação,"55,15","62,84","IE - Pátio de Alimentação:47,3|62,68; Manutenção PQ - Pátio de Alimentação:63|63"
Secagem,"43,81","48,65","Projeto Briquetagem - Secagem:45,6|55,27; Manutenção PQ - Secagem:42|42"
Torre de Resfriamento,"42,83","42,83","IE - Recuperação Civil - TR301TR - Torre de Resfriamento:42,65|42,65; Manutenção PQ - Torre de Resfriamento:43|43"
Mistura,"66,11","66,11","Projeto Briquetagem - Mistura:68,77|68,77; IE - Mistura:68,59|68,59; Manutenção PQ - Mistura:61|61"
Briquetagem,"57,48","58,54","Projeto Briquetagem - Briquetagem:62,86|65,45; IE - Briquetagem:46,56|46,56; Manutenção PQ - Briquetagem:61|61"
Forno,"39,44","39,53","Manutenção do Meio do Forno:50,14|54,71; Substituição Viga do Quadro Móvel da Roda Abaixamento:41,66|0; Manutenção Região do Levantamento AH1:24|29,6; IE - Forno:46,86|46,86; Manutenção PQ - Forno:38|34"
Ventiladores,"53,65","62,17","IE - Ventiladores:47,62|64,22; Manutenção PQ - Ventiladores:60|60"
Precipitadores,"44,59","63,12","Precipitador AR1:47,21|61,97; Precipitador AR40:37,3|63,21; Projeto Briquetagem - Balanceamento AR80 - Precipitadores:40,01|81,97; Manutenção PQ - Precipitadores:52|52"
Peneiramento,"48,84","48,84",IE - Peneiramento:0|0; Manutenção PQ - Peneiramento:60|60
Pátio de Briquete,"60,27","60,27","Projeto Briquetagem - Pátio de Briquete:70,58|70,58; IE - Pátio de Briquete:51,47|51,47; Manutenção PQ - Pátio de Briquete:59|59"
Pátio de Alimentação,0,0,Retirar Bloqueio Elétrico do Pátio de Finos:0|0; Realizar Calibração de Equipamentos:0|0; Realizar Teste Operacional do Pátio de Finos:0|0; Encher Silo 1SM2SI:0|0
Torre de Refriamento,0,0,Retirar Bloqueio da Torre TR301TR Forno  Ventiladores:0|0; Remover Mangotes de Água da Alimentação do Supervisório do CCO 1 e 4:0|0; Encher Torre TR301TR Forno  Ventiladores:0|0
Secagem,0,0,Retirar Bloqueio Elétrico da Secagem:0|0; Realizar Testes Operacionais nos Filtros de Manga:0|0; Realizar Testes Operacionais nos Queimadores GGQ:0|0
Mistura,0,0,Retirar Bloqueio Elétrico da Mistura:0|0; Realizar Calibração das Balanças da Mistura:0|0; Realizar Teste Operacional da Mistura:0|0
Briquetagem,0,0,Retirar Bloqueio Elétrico da Briquetagem:0|0; Conferir Alinhamento dos Rolos :0|0; Calibrar GAP dos Rolos de Briquetagem:0|0; Realizar Zero dos Silos AG100SI  AG101SI  AG102SI:0|0; Realizar Calibração das Balanças das Briquetadoras AG70BD  AG73BD  AG76BD:0|0; Realizar Calibração do Circuito de Produção AG31 e AG35:0|0; Teste Operacional da Briquetagem em Vazio:0|0
Forno,0,0,Retirar Bloqueios do Forno:0|0; Recolocar Carros de Grelha na Região Superior 58 Carros:0|0; Recolocar Carros de Grelha na Região Inferior 71:0|0; Reposicionar Proteções Laterais  Corrimão ao Longo do Forno e Baixar Selagens Superiores Selagem Móvel:0|0; Rodar Circuito da Grelha Vazia 1 Voltas - Realizar Forces Necessários para a Atividade:0|0
Retorno da Produção,0,0,Retornar Produção da Mistura BV100SI  BV101SI  AZ101SI  AZ102SI:0|0; Encher Silos AG100SI  AG101SI  AG102SI e Retornar a Produção de Briquete para Encher a Grelha:0|0; Preencher a Grelha para Iniciar Aquecimento 2 briquetadeiras e circuito da emergência :0|0; Realizar Procedimento para Retorno da NR20 na Região do Forno:0|0; Ligar Queimador GGQ e Realizar Aquecimento do Secador:0|0; Retornar Produção do Secador:0|0; Realizar Aquecimento até 490 °C:0|0
